ulasan,clean_ulasan
Aramadanya tambahim guuyyss. Madura ini gampang terkecph harga murah kalau gk naik langsung kenterminalnya gk bakal kebagian buss hari ini saya 7 buss full semua dr jam setengah 7 sampai jam 9 pagi gk naik sampai pindah halte 3 kali gk naik juga dan mau pindah ke terminal ada polisi hampir kenak ceghat weeess weess,aramadanya tambahim guuyyss madura ini gampang terkecph harga murah kalau gk naik langsung kenterminalnya gk bakal bagi buss hari ini saya buss full semua dr jam tengah sampai jam pagi gk naik sampai pindah halte kali gk naik juga dan mau pindah ke terminal ada polisi hampir nak ceghat weeess weess
"Sangat bagus, aman dan nyaman. Klu bisa dri Bangkalan ke telaga biru, soal nya susah bnget cari angkot nya, meskipun ada lama bnget nunggu ny, kadang di oper oper",sangat bagus aman dan nyaman klu bisa dri bangkal ke telaga biru soal nya susah bnget cari angkot nya meski ada lama bnget nunggu ny kadang di oper oper
Transportasi sangat membantu masyarakat.khususnya para buruh pabrik.keren succes transjatim untuk Indonesia Raya🤗,transportasi sangat bantu masyarakatkhususnya para buruh pabrikkeren succes transjatim untuk indonesia raya
Kapan Sampek ke Malang?? Kami butuhhh,kapan sampek ke malang kami butuhhh
"angkutan murah yg membantu masyarakat menengah kebawah....cuma ada masukan untuk mrnambah arnadanya...solnya sudah banyak yang menggunakan , bis sering full, rute surabaya-bangkalan...terimakasih",angkut murah yg bantu masyarakat tengah kebawahcuma ada masuk untuk mrnambah arnadanyasolnya sudah banyak yang guna bis sering full rute surabayabangkalanterimakasih
👍👍👍,
Sangat membntu,sangat membntu
"untuk map nya kurang akurat mohon diperbaiki lagi, soanya bus nya sudah di halte tapi di maps bus nya itu masih dijalan",untuk map nya kurang akurat mohon baik lagi soanya bus nya sudah di halte tapi di maps bus nya itu masih jalan
Pas di terminal tolong dikasih tanda tujuan / arah keberangkatan,pas di terminal tolong kasih tanda tuju arah berangkat
"Aplikasi nya cukup membantu buat monitoring bus, dan Pelayanan pegawai nya juga bagus banget . Trimakasih 🙏",aplikasi nya cukup bantu buat monitoring bus dan layan pegawai nya juga bagus banget trimakasih
sangat bagus dan informatif,sangat bagus dan informatif
Mantab,mantab
Bagus,bagus
"Perdana naik Trans Jatim dari Bungurasih ke Bangkalan, nyaman dan murah Semakin maju kedepannya",perdana naik trans jatim dari bungurasih ke bangkal nyaman dan murah makin maju depan
"Murah, bersih, dan nyaman. Ayo sambung lagi rute ke wilayah Jatim yang lain. Trans Jatim Ajaib Trans Jatim Bisa Jaya Jaya Jaya",murah bersih dan nyaman ayo sambung lagi rute ke wilayah jatim yang lain trans jatim ajaib trans jatim bisa jaya jaya jaya
Sangat membantu,sangat bantu
Keren,keren
"Enak cepat, usul utk rute lamongan gresik bs lbh pagi sbb nyampek sidayu jam 6 jd telat sampe sby. Kl bisa jam 5 sdh di sidayu",enak cepat usul utk rute lamongan gresik bs lbh pagi sbb nyampek sidayu jam jadi telat sampe sby kl bisa jam sdh di sidayu
"Maaf min, kenapa armada bus nya sekarang semakin jarang ya?",maaf min kenapa armada bus nya sekarang makin jarang ya
Nyaman,nyaman
"Pokoknya the best, Menggunakan transjatim",pokok the best guna transjatim
good,good
"Transportasi umum yang murah,aman dan nyaman.di tunggu jalur jalur terbaru dari transjatim,mantab",transportasi umum yang murahaman dan nyamandi tunggu jalur jalur baru dari transjatimmantab
"Bikin kapok..gak rekomended. Penumpang sudah full tp ngga langsung jalan, pdhl antrian panjang poll hari libur. Unit juga sangat minim untk menampung penumpang apalagi masa liburan begini.",bikin kapokgak rekomended tumpang sudah full tp ngga langsung jalan pdhl antri panjang poll hari libur unit juga sangat minim untk tampung tumpang apalagi masa libur begini
Antrinya egk umum d terminal bunder. Peminatnya mbludak armadanya terlalu kecil,antri egk umum d terminal bunder minat mbludak armada terlalu kecil
Alangkah baik kalo bisnya d upgrade k bis ukuran besar untuk rute paciran-gresik-sidoarjo. Karena peminatnya sangat besar sehingga selalu full.,alangkah baik kalo bis d upgrade k bis ukur besar untuk rute pacirangresiksidoarjo karena minat sangat besar sehingga selalu full
Layanan buruk,layan buruk
Layanan CS mohon lebih responsif.,layan cs mohon lebih responsif
Ok,ok
"Antrian gila gila an. Bukan karena transportasi andalan warga jatim. Tapi karena murah dan affordable, dan cuma karena satu satunya yg bisa dinaiki. Armada terbatas, kecil. Sementara pengguna banyak. Aplikasi tidak banyak membantu. Pelayanan publik yg tak jua memberikan pelayanan yg humanis bagi publik",antri gila gila an bukan karena transportasi andal warga jatim tapi karena murah dan affordable dan cuma karena satu satu yg bisa naik armada batas kecil sementara guna banyak aplikasi tidak banyak bantu layan publik yg tak jua beri layan yg humanis bagi publik
"Bus Gresik→Lamongan sangat kacau sistemnya, buruk, bapuk, tidak layak disebut sebagai sarana umum yang mempuni jika pemerataannya sampah.",bus gresik lamongan sangat kacau sistem buruk bapuk tidak layak sebut bagai sarana umum yang pun jika perata sampah
"assalamualaikum pihak admin transjatim mohon ditambah halte menuju ke sunan Ampel dan kasiann para masyarakat ingin nyekar kesunan Ampel yang begitu jauh dari halte ke sunan Ampel dan jarak nya cukup jauh mohon ditambah kan halte nya sayang saya kasih bintang 2, semoga kedepannya lebih baik nya , dan mohon secepatnya menambahkan halte terimakasih",assalamualaikum pihak admin transjatim mohon tambah halte tuju ke sunan ampel dan kasiann para masyarakat ingin nyekar sun ampel yang begitu jauh dari halte ke sunan ampel dan jarak nya cukup jauh mohon tambah kan halte nya sayang saya kasih bintang moga depan lebih baik nya dan mohon cepat tambah halte terimakasih
"Teruntuk Pramugara / Pramugari yang tegas lah dalam menjaga peraturan, masak penataan penumpang awur awuran, harus nya kan wanita depan cowo belakang, lah ini rute Paciran ngga ee... cewe di belakang semua pramugara diem aja. Tata lah minimal taat in aturan",untuk pramugara pramugari yang tegas lah dalam jaga atur masak tata tumpang awur awur harus nya kan wanita depan cowo belakang lah ini rute paciran ngga ee cewe di belakang semua pramugara diem aja tata lah minimal taat in atur
Tidak bisa terhubung dengan astrapay. Padahal metode pembayaran cuman bisa pake astrapay,tidak bisa hubung dengan astrapay padahal metode bayar cuman bisa pake astrapay
bagus banget.. bisa real time posisi bus dengan semua rute dan jumlah penumpang.. top markotop,bagus banget bisa real time posisi bus dengan semua rute dan jumlah tumpang top markotop
aplikasi ini sangat berguna dan bermanfaat bagi saya,aplikasi ini sangat guna dan manfaat bagi saya
Keren,keren
Alhamdulillah dengan adanya tran lebih mudah mau bepergian kemana saja,alhamdulillah dengan ada tran lebih mudah mau pergi mana saja
"bus nya keren dan nyaman. tapi sayang nya kendaraan nya masih kurang banyak terutama untuk rute Gresik - Sidoarjo. banyak penumpang yang di tolak karena bus terlalu full, bahkan penumpang yang sudah di dalam bus pun harus berdempet dempet an. saya harap untuk bisa ditambah lagi bus nya, agar tidak menunggu terlalu lama.",bus nya keren dan nyaman tapi sayang nya kendara nya masih kurang banyak utama untuk rute gresik sidoarjo banyak tumpang yang di tolak karena bus terlalu full bahkan tumpang yang sudah di dalam bus pun harus dempet dempet an saya harap untuk bisa tambah lagi bus nya agar tidak tunggu terlalu lama
Dapat di pahami.. bagus apknya,dapat di paham bagus apknya
Mempermudah sekali dgn adanya apk ini,mudah sekali dgn ada apk ini
Tolong dong hubungkan dgn pembayaran yg lainnya... Selain astrapay.,tolong dong hubung dgn bayar yg lain selain astrapay
Semoga di tambah lagi ke arah bojonegoro,moga di tambah lagi ke arah bojonegoro
Let's go,lets go
Klo bisa Sampek ke malang krna disini banyak pendatang klo ada bis langsung terminal Arjosari kan enak sangat membantu perjalanan kami paling tidak bisa mudik 1 Minggu sekali..🙏🏻🙏🏻,klo bisa sampek ke malang krna sini banyak datang klo ada bis langsung terminal arjosari kan enak sangat bantu jalan kami paling tidak bisa mudik minggu sekali
"Tolong aplikasinya di kondisikan, jumlah penumpang suka eror, kadang tulisannya 0 tapi malah full, kadang penumpangnya dikit tapi di aplikasinya berjumlah 64 , bikin bingung",tolong aplikasi di kondisi jumlah tumpang suka eror kadang tulis tapi malah full kadang tumpang dikit tapi di aplikasi jumlah bikin bingung
Mantaaaffff,mantaaaffff
Kapan lewat Kwanyar Bangkalan min ?,kapan lewat kwanyar bangkal min
"Belum naik, mau coba naik",belum naik mau coba naik
Mohon penumpang dengan barang bawaan yg banyak diperbolehkan bayar untuk 2 seat (1 seat untuk barang bawaannya),mohon tumpang dengan barang bawa yg banyak boleh bayar untuk seat seat untuk barang bawa
"Klo bisa sampe malang om,, 😁 d tempat sekrang malah bnyak yg kluyuran naik trns jatim hanya untuk ngopi",klo bisa sampe malang om d tempat sekrang malah bnyak yg kluyuran naik trns jatim hanya untuk ngopi
Mohon ditambahkan halte / shelter dijalan kenjeran dari arah suramadu..didepan makan WR atau depan rangkah gang 2 atau depan BRI. TERIMA KASIH,mohon tambah halte shelter jalan kenjeran dari arah suramadudidepan makan wr atau depan rang gang atau depan bri terima kasih
Kenapa tdk ada yg dr timur ya...saya dr galis...,kenapa tdk ada yg dr timur yasaya dr galis
"Menyusahkan pengguna, kemunduran dalam trasportasi tidak bisa transit. Semoga K2 semakin sepi biar pemangku kebijakan bisa melek melihat kondisi",susah guna mundur dalam trasportasi tidak bisa transit moga k makin sepi biar mang bijak bisa melek lihat kondisi
"Ini pengalaman pertama saya naik Trans Jatim. Transportasinya nyaman dan petugasnya ramah. Sayangnya saya harus berdiri karena kursinya sudah penuh. Mohon armada yg kosong diberdayakan, sehingga banyak bus yg jalan maka penumpang yg tidak kebagian kursi bisa menunggu armada bus yg selanjutnya. Semoga ke depannya menjadi transportasi umum yg lebih baik.",ini alam pertama saya naik trans jatim transportasi nyaman dan tugas ramah sayang saya harus diri karena kursi sudah penuh mohon armada yg kosong daya sehingga banyak bus yg jalan maka tumpang yg tidak bagi kursi bisa tunggu armada bus yg lanjut moga ke depan jadi transportasi umum yg lebih baik
Tolong di dekat SPBU Kedung cowek di kasih rambu naik/turun Soalnya jauh kalau mau ke Selter Kedung cowek 2,tolong di dekat spbu kedung cowek di kasih rambu naikturun soal jauh kalau mau ke selter kedung cowek
"Semoga semakin maju transportasi transjatim , terbaik dah",moga makin maju transportasi transjatim baik dah
keren,keren
Aplikasi ini sangat membantu dalam transportasi publik,aplikasi ini sangat bantu dalam transportasi publik
Alhamdulillah... Rute SBY - Bangkalan dan sebaliknya sudah bisa diakses. C anak saya kalau pulang dari sekolah di malang bisa langsung terkoneksi hingga bangkalan kota. Makasih,alhamdulillah rute sby bangkal dan balik sudah bisa akses c anak saya kalau pulang dari sekolah di malang bisa langsung koneksi hingga bangkal kota makasih
"Sangat membantu utk mengurangi arus lalu lintas, Semoga operasionalnya berjalan dengan lancar dan utk Pemerintah/Dishub Bangkalan tolong bus trans Bangkalan - Tanjung Bumi PP dipasang tracking juga supaya masyarakat dari Tanjung bumi ke Bangkalan PP tau posisi bus berada di mana. Apakah ada APK nya juga utk bus rute Bangkalan - Tanjung bumi? Terima kasih semoga bermanfaat utk masyarakat luas.",sangat bantu utk kurang arus lalu lintas moga operasional jalan dengan lancar dan utk pemerintahdishub bangkal tolong bus trans bangkal tanjung bumi pp pasang tracking juga supaya masyarakat dari tanjung bumi ke bangkal pp tau posisi bus ada di mana apakah ada apk nya juga utk bus rute bangkal tanjung bumi terima kasih moga manfaat utk masyarakat luas
Sangat bergun. Semogabisa di tingkatlan pelayanannya dan semoga seluruh rute di jawa timur bisa tercover.,sangat gun semogabisa di tingkatlan layan dan moga seluruh rute di jawa timur bisa tercover
Terimakasih sudah membantu wong cilik,terimakasih sudah bantu wong cilik
Sangat cocok untuk penumpang bus online,sangat cocok untuk tumpang bus online
Bagus.,bagus
mantap banget,mantap banget
ide.a mantap sihh tinggal penyuluhan.a ke masyarakat *dari warga Bangkalan,idea mantap sihh tinggal penyuluhana ke masyarakat dari warga bangkal
"Antara aplikasi dan aktualnya tidak sinkron. Di aplikasi tertulis masih terisi 1 penumpang, kenyataannya sudah full dan tinggal yg berdiri. Untuk aplikasi transportasi publik ini sedikit mengecewakan.",antara aplikasi dan aktual tidak sinkron di aplikasi tulis masih isi tumpang nyata sudah full dan tinggal yg diri untuk aplikasi transportasi publik ini sedikit kecewa
Semoga Transjatim membuka rute Tuban - Mojokerto (Via Paciran - Karanggeneng - Lamongan Kota),moga transjatim buka rute tuban mojokerto via paciran karanggeneng lamongan kota
Murah dan terjangkau,murah dan jangkau
"Di aplikasi terakhir sampai jam 9,kenyataan nya jam 7 pas udah armada terakhir,kecewa",di aplikasi akhir sampai jam nyata nya jam pas udah armada terakhirkecewa
Mantab,mantab
"PERBANYAK ARMADA GRESIK-LAMONGAN, MASAK SELALU OVERLOAD",banyak armada gresiklamongan masak selalu overload
Aplikasi milik pemda kenapa ga kerjasama dg QRIS atau bank BUMN? Ribet banget harus unduh astrapay segala,aplikasi milik pemda kenapa ga kerjasama dg qris atau bank bumn ribet banget harus unduh astrapay segala
"Rute Sby - Mojokerto banyak. tp rute sebaliknya, mojokerto-sby susah banget. lama. lihat di aplikasi banyak yg berhenti di terminal mojokerto dan krian lama sekali",rute sby mojokerto banyak tp rute balik mojokertosby susah banget lama lihat di aplikasi banyak yg henti di terminal mojokerto dan krian lama sekali
Antri gresik paciran ricuh min😤,antri gresik paciran ricuh min
mau nanya nih apakah naik dari halte porong trus turunnya di halte suncity bisa? apakah turunnya harus di terminal bungur semua meskipun tujuannya ke suncity?,mau nanya nih apakah naik dari halte porong trus turun di halte suncity bisa apakah turun harus di terminal bungur semua meski tuju ke suncity
Petugas Ramah dan sangat membantu,tugas ramah dan sangat bantu
"Usul , mohon di berikan aturan baru. Penumpang di larang membawa barang berlebihan, koper atau barang lainya. Karena seharusnya barang barang besar di bagasi bukan posisi penumpang, secara tidak langsung mengganggu penumpang yanh di dalam bus",usul mohon di ikan atur baru tumpang di larang bawa barang lebih koper atau barang lai karena harus barang barang besar di bagasi bukan posisi tumpang cara tidak langsung ganggu tumpang yanh di dalam bus
"DIMOHON UNTUK ARAH SBY-GRESIK HARAP UNTUK DITAMBAH UNIT BUS NYA, KASIAN YANG PUNYA ASMA BERDESAKAN TERUS 🙏🏼 BEDASARKAN YANG SAYA ALAMI PP SBY-GRESIK HANYA BUS ARAH SBY-GRESIK YANG RAME PENGUNJUNG",mohon untuk arah sbygresik harap untuk tambah unit bus nya kasi yang punya asma desa terus bedasarkan yang saya alami pp sbygresik hanya bus arah sbygresik yang rame unjung
"Gila Ngeleg amat nih Aplikasi. Jaringan Wifi Lancar bnget buat buka yg lain,tpi buka ini Aplikasi dr tadi muter² aja teros",gila ngeleg amat nih aplikasi jaring wifi lancar bnget buat buka yg laintpi buka ini aplikasi dr tadi muter aja ros
Hp Ibu saya jatuh di dalam bis jurusan SBY Gresik. Alhamdulillah masih rejeki karena diamankan pramugari yang sedang bertugas. Terimakasih. Good job to all of the TransJatim's crews 😊👍,hp ibu saya jatuh di dalam bis jurus sby gresik alhamdulillah masih rejeki karena aman pramugari yang sedang tugas terimakasih good job to all of the transjatims crews
"Keren tapi kadang bis nya telat tapi is ok lah ya, oh ya kok nggak ditambah lagi bis nya kok kayaknya terlalu sedikit",keren tapi kadang bis nya telat tapi is ok lah ya oh ya kok nggak tambah lagi bis nya kok kayak terlalu sedikit
Bagus sekaliii,bagus sekaliii
"sangat disayangkan kenapa bus trans katim koridor 2 tidak ada rute melewati bungurasih. jadinya sangat ribet. mau patkir sepeda motor di halte juga gak bisa. minta bantuannya agar kebijakan itu ditinjau kembali, utamakan masyarakat yang menggunakam transportasi umum dipermudah aksesnya jgn malah dipersulit hanya karena di area tsb masih banyak len/ojek.",sangat sayang kenapa bus trans katim koridor tidak ada rute lewat bungurasih jadi sangat ribet mau patkir sepeda motor di halte juga gak bisa minta bantu agar bijak itu tinjau kembali utama masyarakat yang menggunakam transportasi umum mudah akses jgn malah sulit hanya karena di area tsb masih banyak lenojek
murah tapi bisnya santai banget kurang cepet,murah tapi bis santai banget kurang cepet
Semenjak ada Trans jatim perjalanan yang jauh jadi lebih murah dan ekonomis serta aplikasi yang baik,semenjak ada trans jatim jalan yang jauh jadi lebih murah dan ekonomis serta aplikasi yang baik
Aplikasi yang bagus.. tapi belum berguna buat aku yang tinggal di babat lamongan jadi aku hapus dulu aplikasinya..,aplikasi yang bagus tapi belum guna buat aku yang tinggal di babat lamongan jadi aku hapus dulu aplikasi
"Terima kasoh sudah memberi kemudahan untuk mengakses update info lokasi rute dll,semoga kedepannya menjadi lebih baik",terima kasoh sudah beri mudah untuk akses update info lokasi rute dllsemoga depan jadi lebih baik
"Untuk GRESIK-LAMONGAN harap di tambah lagi halte nya. Jarak penempatan halte Dari sekapuk ke dalegan cukup jauh. Kami masyarakat yg tinggal sekitar desa Wotan,petung sampai ke selatan cukup keberatan",untuk gresiklamongan harap di tambah lagi halte nya jarak tempat halte dari kapuk ke dalegan cukup jauh kami masyarakat yg tinggal sekitar desa wotanpetung sampai ke selatan cukup berat
Apakah sudah ada bus yang beroprasi dari pelabuhan paciran ke arah gresik atau sebaliknya?,apakah sudah ada bus yang beroprasi dari labuh paciran ke arah gresik atau balik
Siip,siip
Mantap sekali ... Baru pertama kemaren aku gunain transjatim dari terminal bunder ke terminal Bungurasih 🥰 Joss gandos ... Pulang pergi aku dapet Duduk sambil pangku anak aku 🤭 pelayanan juga top markotop .... Ditunggu koridor 4 arah ke Paciran Lamongan ⭐✨🌈,mantap sekali baru pertama kemaren aku gunain transjatim dari terminal bunder ke terminal bungurasih joss gandos pulang pergi aku dapet duduk sambil pangku anak aku layan juga top markotop tunggu koridor arah ke paciran lamongan
01 /08/2024 saya nunggu dihalte Siwalankerto 2 dari jam 20.15 Sampek jam 21.30 tidak ada armada bus trans Jatim yg merapat kalah sama armada bus Suroboyo masih ada yg merapat dihalte Siwalankerto 2 meski jam diatas 21.00,saya nunggu halte siwalankerto dari jam sampek jam tidak ada armada bus trans jatim yg rapat kalah sama armada bus suroboyo masih ada yg rapat halte siwalankerto meski jam atas
MINTA TOLONG DAERAH KEMASAN KRIAN DIKASIH HALTE 1 KARNA JARAK DARI HALTE BYPASS TIMUR - TERMINAL KRIAN TERLALU JAUH TERIMAKASIH,minta tolong daerah kemas krian kasih halte karna jarak dari halte bypass timur terminal krian terlalu jauh terimakasih
"Tolong dong armadanya di tambahin dan rutenya seperti trawas,mojokerto,ini yang masih kurang tolong dibaca yang mengelola aplikasi ini🙏🙏🙏🙏🙏🙏🙏🙏🙏",tolong dong armada di tambahin dan rute seperti trawasmojokertoini yang masih kurang tolong baca yang kelola aplikasi ini
Aplikasi nya sangat bagus sekali,aplikasi nya sangat bagus sekali
maaf masih suka lag saat buku rute ketanya koneksi internet terganggu. padahal lancar2 saja internet saya🙏,maaf masih suka lag saat buku rute keta koneksi internet ganggu padahal lancar saja internet saya
Aplikasi sering eror . Di update gak bisa Pdhl sinyal full,aplikasi sering eror di update gak bisa pdhl sinyal full
Jam oprasional kurang. Kirain Sampek jam 11 malam... rubah lagi jam operasinalnya. Sampek jam 11 malam.,jam oprasional kurang kirain sampek jam malam rubah lagi jam operasinalnya sampek jam malam
keren aplikasinya,keren aplikasi
